Rank,State,County,Republican Turnout,,"Rep Turnout Increase 
(2020-2016)","Republican
Votes 2020",Voting Age Pop 2020,,Rank,State,County,Democrat Turnout,,"Dem Turnout Increase 
(2020-2016)","Democrat
Votes 2020",Voting Age Pop 2020
,,,2016,2020,,,,,,,,2016,2020,,,
1,FL,GULF COUNTY,39.2%,54.8%,15.6%,"6,113","11,147",,1,AZ,APACHE COUNTY,33.2%,44.4%,11.2%,"23,293","52,462"
2,GA,JASPER COUNTY,41.7%,53.3%,11.6%,"5,822","10,924",,2,GA,HENRY COUNTY,30.8%,41.8%,11.0%,"73,276","175,285"
3,GA,DAWSON COUNTY,52.8%,64.2%,11.4%,"13,398","20,853",,3,GA,ROCKDALE COUNTY,34.9%,45.4%,10.4%,"31,244","68,889"
4,GA,HEARD COUNTY,37.8%,48.6%,10.9%,"4,516","9,284",,4,MI,LEELANAU COUNTY,37.8%,48.1%,10.4%,"8,795","18,267"
5,GA,HARALSON COUNTY,43.8%,54.5%,10.6%,"12,331","22,637",,5,GA,FAYETTE COUNTY,27.3%,37.5%,10.2%,"33,065","88,100"
6,MI,MISSAUKEE COUNTY,46.7%,57.0%,10.3%,"6,648","11,658",,6,GA,GWINNETT COUNTY,25.3%,35.2%,9.9%,"241,827","687,242"
7,AZ,MOHAVE COUNTY,34.6%,44.4%,9.9%,"78,535","176,822",,7,MI,GRAND TRAVERSE COUNTY,28.7%,38.5%,9.8%,"28,683","74,544"
8,GA,PIERCE COUNTY,44.0%,53.7%,9.7%,"7,899","14,696",,8,GA,COBB COUNTY,28.3%,38.0%,9.8%,"221,846","583,231"
9,MI,OSCODA COUNTY,42.5%,52.2%,9.7%,"3,466","6,646",,9,AZ,COCONINO COUNTY,29.3%,39.0%,9.7%,"44,698","114,726"
10,PA,FULTON COUNTY,49.1%,58.5%,9.5%,"6,824","11,655",,10,WI,MENOMINEE COUNTY,33.2%,42.8%,9.7%,"1,303","3,041"
11,GA,BRYAN COUNTY,41.6%,50.9%,9.3%,"14,244","27,979",,11,GA,DOUGLAS COUNTY,29.7%,39.4%,9.6%,"42,809","108,767"
12,PA,ELK COUNTY,40.9%,50.2%,9.3%,"12,140","24,173",,12,WI,BAYFIELD COUNTY,40.2%,49.5%,9.3%,"6,155","12,431"
13,GA,HART COUNTY,36.3%,45.5%,9.2%,"9,464","20,783",,13,PA,CHESTER COUNTY,35.7%,44.8%,9.1%,"182,372","407,024"
14,GA,FRANKLIN COUNTY,40.5%,49.7%,9.2%,"9,069","18,249",,14,MI,WASHTENAW COUNTY,43.3%,52.4%,9.1%,"157,136","299,837"
15,GA,JACKSON COUNTY,44.9%,54.1%,9.2%,"29,497","54,499",,15,MI,EMMET COUNTY,26.5%,35.6%,9.1%,"9,662","27,161"
16,WI,OCONTO COUNTY,44.5%,53.7%,9.2%,"16,266","30,302",,16,PA,MONTGOMERY COUNTY,40.0%,49.0%,9.0%,"319,511","652,435"
17,GA,PIKE COUNTY,53.3%,62.5%,9.2%,"9,127","14,613",,17,MI,KENT COUNTY,28.6%,37.6%,9.0%,"187,915","499,890"
18,PA,BEDFORD COUNTY,50.3%,59.5%,9.2%,"23,025","38,720",,18,GA,FORSYTH COUNTY,14.9%,23.6%,8.8%,"42,203","178,574"
19,MI,MONTCALM COUNTY,34.7%,43.8%,9.0%,"21,815","49,856",,19,MI,BENZIE COUNTY,28.8%,37.5%,8.7%,"5,480","14,621"
20,GA,UNION COUNTY,52.0%,61.0%,9.0%,"12,651","20,737",,20,GA,DEKALB COUNTY,44.0%,52.7%,8.7%,"308,227","584,968"
